entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence,atr_ticks,vol_percentile
2020-06-09 18:40:00+00:00,2020-06-09 19:40:00+00:00,long,1,3208.5,3217.0,36.55,TIME_EXIT,48,0.43582332662875006,0.08280424197740932,11.214285714285714,0.465
2020-06-18 18:15:00+00:00,2020-06-18 19:15:00+00:00,long,1,3096.0,3088.75,-42.2,TIME_EXIT,48,0.4356376490380383,0.0660855341819439,13.642857142857142,0.15
2020-06-22 18:10:00+00:00,2020-06-22 19:10:00+00:00,long,1,3098.5,3108.5,44.05,TIME_EXIT,48,0.44119254171057887,0.09030319755269467,11.642857142857142,0.03
2020-06-23 18:05:00+00:00,2020-06-23 19:05:00+00:00,long,1,3137.5,3130.25,-42.2,TIME_EXIT,48,0.43561944994817847,0.09861988534094424,11.5,0.13
2020-06-29 18:25:00+00:00,2020-06-29 19:25:00+00:00,long,1,3034.5,3026.5,-45.95,TIME_EXIT,48,0.4359174150783183,0.10971009363668344,10.285714285714286,0.03
2020-07-01 18:50:00+00:00,2020-07-01 19:50:00+00:00,long,1,3103.0,3112.25,40.3,TIME_EXIT,48,0.4551146994289145,0.09466305301984829,15.428571428571429,0.26
2020-07-02 18:25:00+00:00,2020-07-02 19:25:00+00:00,long,1,3135.75,3134.75,-10.95,TIME_EXIT,48,0.43515512386105887,0.09142291683730325,10.785714285714286,0.01
2020-07-06 18:45:00+00:00,2020-07-06 19:45:00+00:00,long,1,3161.5,3165.0,11.55,TIME_EXIT,48,0.4368207644227986,0.0923010732874997,11.142857142857142,0.46
2020-07-07 18:40:00+00:00,2020-07-07 19:40:00+00:00,long,1,3152.0,3145.25,-39.7,TIME_EXIT,48,0.4365583455560748,0.07073697689296088,12.357142857142858,0.54
2020-07-09 18:40:00+00:00,2020-07-09 19:40:00+00:00,long,1,3142.75,3136.5,-37.2,TIME_EXIT,48,0.43596692635596257,0.0730280574651016,14.571428571428571,0.28
2020-07-10 18:45:00+00:00,2020-07-10 19:45:00+00:00,long,1,3166.25,3172.5,25.3,TIME_EXIT,48,0.4353496061739518,0.12146268271810856,10.785714285714286,0.02
2020-07-13 18:05:00+00:00,2020-07-13 18:10:00+00:00,long,1,3219.0,3206.5,-68.45,CATASTOP,48,0.4363295685491883,0.12150305412391987,11.571428571428571,0.1
2020-07-16 18:40:00+00:00,2020-07-16 19:00:00+00:00,long,1,3203.75,3191.75,-65.95,CATASTOP,48,0.43846619084158983,0.0861472974919989,12.285714285714286,0.19
2020-07-22 18:45:00+00:00,2020-07-22 19:45:00+00:00,long,1,3257.0,3266.75,42.8,TIME_EXIT,48,0.4353308963970796,0.08034839752713668,12.571428571428571,0.24
2020-07-30 18:15:00+00:00,2020-07-30 19:15:00+00:00,long,1,3235.5,3236.25,-2.2,TIME_EXIT,48,0.43826923721587613,0.09041711272973307,13.642857142857142,0.32
2020-07-31 18:40:00+00:00,2020-07-31 19:40:00+00:00,long,1,3227.75,3247.0,90.3,TIME_EXIT,48,0.43490127951891866,0.06217014847726465,15.214285714285714,0.29
2020-08-10 18:50:00+00:00,2020-08-10 19:50:00+00:00,long,1,3348.25,3350.25,4.05,TIME_EXIT,48,0.4377826036226484,0.09789255328001162,9.785714285714286,0.05
2020-08-11 18:30:00+00:00,2020-08-11 19:15:00+00:00,long,1,3364.5,3352.5,-65.95,CATASTOP,48,0.4368715731853123,0.08223270145888084,12.142857142857142,0.75
